id,origintime,latitude,longitude,depth,err_lon,err_lat,err_depth,err_origintime,county,origin_src,prefmag,pmag_type,pmag_src,mw,mw_src,mblg_ogs,mblg_usgs,ml_ogs,m3hz_ogs,md_ogs,mb,ms,mfa,max_mmi,reafile,reamtime,geom,pdlid,mw_ogs
19955,45:59.6,36.20032,-97.00455,6.036,1,0.4,1.7,0.37,PAYNE,OGS,2.5,ML,OGS,,,,,2.5,,,,,,0,/home/analyst/REA/OGS__/2015/09/08-0145-25L.S201509,27:26.8,0101000020E6100000984C158C4A4058C00B5EF415A4194240,,
19935,27:12.4,36.57351,-97.39351,6.808,0.7,0.5,1.7,0.36,NOBLE,OGS,2.3,ML,OGS,,,,,2.3,,,,,,0,/home/analyst/REA/OGS__/2015/09/08-0326-40L.S201509,38:55.5,0101000020E6100000892991442F5958C0E8F692C668494240,13385,
19914,34:22.5,36.52928,-98.49205,4.592,0.8,0.4,1.5,0.34,ALFALFA,OGS,3,ML,OGS,,,,,3,,,,,,0,/home/analyst/REA/OGS__/2015/09/08-0334-04L.S201509,55:22.5,0101000020E6100000CC7F48BF7D9F58C0A4367172BF434240,13375,
19934,05:55.4,35.60469,-97.05174,4.517,0.8,0.6,1.3,0.32,LINCOLN,OGS,2.3,ML,OGS,,,,,2.3,,,,,,0,/home/analyst/REA/OGS__/2015/09/08-0505-18L.S201509,22:36.0,0101000020E610000048F949B54F4358C0EF1B5F7B66CD4140,13384,
19922,05:19.0,36.17717,-97.48705,5,0.9,0.4,1.9,0.37,GARFIELD,OGS,2.6,ML,OGS,,,,,2.6,,,,,,1,/home/analyst/REA/OGS__/2015/09/08-1604-48L.S201509,06:15.8,0101000020E61000001361C3D32B5F58C089EAAD81AD164240,13380,
19931,07:50.5,36.17937,-97.48484,4.707,0.8,0.5,1.8,0.36,GARFIELD,OGS,2.3,ML,OGS,,,,,2.3,,,,,,0,/home/analyst/REA/OGS__/2015/09/08-1607-13L.S201509,32:46.6,0101000020E6100000BBF2599E075F58C017F19D98F5164240,,
19932,17:23.3,36.83949,-98.27477,3.494,1.3,0.5,1.2,0.33,ALFALFA,OGS,2.3,ML,OGS,,,,,2.3,,,,,,0,/home/analyst/REA/OGS__/2015/09/08-1716-40L.S201509,53:05.1,0101000020E610000001FBE8D4959158C0D6A88768746B4240,,
19957,00:22.7,36.20285,-97.00592,5.946,0.9,0.4,1.7,0.38,PAYNE,OGS,2.5,ML,OGS,,,,,2.5,,,,,,0,/home/analyst/REA/OGS__/2015/09/08-1959-43L.S201509,02:33.5,0101000020E61000001C9947FE604058C02EFF21FDF6194240,,
19936,26:20.5,36.17799,-97.48571,5.819,0.8,0.4,1.7,0.39,GARFIELD,OGS,3.3,ML,OGS,,,,,3.3,,,,,,0,/home/analyst/REA/OGS__/2015/09/08-2125-00L.S201509,57:49.3,0101000020E6100000C55565DF155F58C0ED815660C8164240,13386,
19954,39:26.3,36.17897,-97.4861,5.25,0.8,0.5,1.8,0.33,GARFIELD,OGS,2.4,ML,OGS,,,,,2.4,,,,,,0,/home/analyst/REA/OGS__/2015/09/08-2238-49L.S201509,44:31.7,0101000020E61000007AA52C431C5F58C0897B2C7DE8164240,,
19942,42:48.9,36.18238,-97.49753,3.473,2.4,1.3,4.4,1.73,GARFIELD,OGS,3.4,MW,OGS,,,,,3.7,,,,,,0,/home/analyst/REA/OGS__/2015/09/09-0342-18L.S201509,53:30.3,0101000020E6100000D9B11188D75F58C0E5B8533A58174240,13387,3.4
19973,00:41.9,36.81585,-98.00942,1.8,0.9,0.5,2.2,0.34,GRANT,OGS,2.3,ML,OGS,,,,,2.3,,,,,,0,/home/analyst/REA/OGS__/2015/09/09-1959-58L.S201509,58:05.1,0101000020E61000006AFB57569A8058C08638D6C56D684240,13395,
